ID,PM2.5,PM2.5_PopWtd,NO2,NO2_PopWtd,Access_City,Access_Motor,Access_Walk,Diabetes,Obesity,Smoking,COPD,COPD_F,COPD_M,CVD,CVD_F,CVD_M,HIV,HIV_F,HIV_M,Hypertension,Hypertension_F,Hypertension_M,Risk_Tot,Risk_Age,Risk_High,Cases_MERS,Cases_SARS,WorldPop,WorldPop_Density,WorldPop_65
MG,4.785937151,5.11478078,0.540564716,1.441850066,512.52155,120.99082,181.03555,4.5,5.3,28.9,62110209.72,2.163254693,2.311619066,210897424.6,7.605138529,7.583388385,5322788.877,0.225018094,0.157549011,604551751,21.3227951,22.2273061,0.138350058,0.208323396,0.02712438,0,0,27770164,37.896378,862657
MK,15.25365714,16.84733505,3.337297201,3.88615346,68.652397,32.990906,186.10034,9.3,22.4,NA,4566055.064,1.705253849,2.646287117,15226373.85,6.565196369,7.945724459,10676.36322,0.004214028,0.005960728,NA,NA,NA,0.293243044,0.214060614,0.07091237,0,0,2098622,55.231255,304126
ML,62.66535011,55.75891653,0.56850636,2.734890461,1857.8579,516.60663,940.60553,2.4,8.6,12,55218836.14,2.471735029,2.273290501,142179794.1,6.032064625,6.191487443,17484000.62,0.905742122,0.59450931,578770963.2,25.5998688,24.1400846,0.12793887,0.222665531,0.0251043,0,0,23265906,15.168108,572381
MM,20.65545717,21.33404283,0.960847199,2.454618454,327.38901,273.0925,806.28021,3.9,5.8,45.5,197389213.6,3.980638913,4.198487186,281895847.3,5.456506503,6.242494591,19029742.12,0.38839599,0.399761084,1086603503,22.3731973,22.6151801,0.228177223,0.237913469,0.05058058,0,0,48315932,57.59837,3096218
MN,11.13526319,10.3313131,0.79777652,4.11032629,708.01947,305.02338,1683.8782,4.7,20.6,27.6,4366436.768,1.191022147,1.577224349,26800332.6,7.367381091,9.621528644,44807.98332,0.004507656,0.024175949,78143328.01,21.663299,27.865772,0.182661792,0.21145479,0.04059164,0,9,3162416,1.1974641,137865
MR,61.28945476,59.82242008,0.325951397,4.186428547,2437.8689,1287.4728,2022.687,7.1,12.7,NA,7901723.818,1.968710857,1.551800939,30257671.5,6.513985127,7.059227398,183945.2198,0.024561403,0.059308683,114477516,25.1361453,26.1728108,0.144726653,0.215783012,0.02997971,0,0,4466171,3.44117,137361
MT,12.41645836,12.29175099,5.021603584,5.40752697,7.4386792,2.847919,29.938242,8.3,28.9,25.1,1107214.406,1.847587014,3.470936662,2419818.873,5.244099964,6.37514668,36942.38936,0.092484726,0.084856303,10373416.72,20.823886,28.9921967,0.323138475,0.205518732,0.06444944,0,0,416593,890.15558,87297
MU,2.203435664,2.213152204,0.653667748,1.34632206,122.30261,6.9733768,48.532169,22,10.8,26.9,2681014.175,1.442746852,2.846574922,7942827.678,6.014624702,6.621173742,298849.7533,0.113235075,0.366855196,34010037.06,26.4745888,27.6003152,0.344733328,0.275528298,0.07071692,0,0,1258416,499.3714,156019
MV,NA,NA,NA,NA,1209.1,73.865204,1310.5,9.2,8.6,NA,1186938.329,3.997590399,2.800036786,2107172.664,5.393418035,6.255184372,1211.366349,0.005589753,0.001719356,7322137.575,16.9651704,23.0750081,0.179942761,0.206029927,0.03125239,0,0,358073,1031.91,15582
MW,11.75680111,11.44511978,1.425319076,2.515261173,119.20161,36.919636,219.69554,4.5,5.8,12.8,29290420.95,1.287099409,1.887584704,130845605.5,6.870582858,7.307925717,147228121.3,9.42958743,6.519018873,400687430.9,22.0717249,21.343895,0.171440287,0.268947583,0.02764121,0,0,18457750,161.83484,531276
MX,8.871781928,13.32356185,1.932871103,9.478406906,192.53964,101.43743,597.0238,13.5,28.9,13.9,336723022.8,2.242495763,2.569331769,743005982.6,5.388968616,5.20195348,25372020.39,0.073880156,0.294463111,2601789453,16.5781916,20.6472866,0.244624432,0.248224779,0.04646372,0,0,140237024,56.18718,10329350
MY,18.00903867,25.6983369,1.715385675,5.986351013,298.03751,130.26312,396.7413,16.7,15.6,21.8,75621356.64,1.673301007,2.706211049,241543212,6.858827684,7.161423001,5982055.843,0.10595357,0.239938273,713220904.8,18.1470691,23.2075399,0.222349847,0.224297431,0.04264793,1,5,34448496,89.213837,2346693
MZ,9.149975833,9.157225308,0.631917715,1.348088384,209.89182,86.837547,229.10811,3.3,7.2,14.4,50271080.88,1.287979047,1.980915839,230497198.2,7.213834977,7.721563828,328777317.9,12.28597128,8.937122986,702617604.6,23.3805437,22.0904886,0.18000096,0.277340357,0.02910463,0,0,30886646,32.357014,883920
